qty,total_price,freight_price,unit_price,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_score,customers,weekday,weekend,holiday,month,year,s,volume,comp_1,ps1,fp1,comp_2,ps2,fp2,comp_3,ps3,fp3,lag_price,day_of_week,log_qty,log_price,product_category_name_computers_accessories,product_category_name_consoles_games,product_category_name_cool_stuff,product_category_name_furniture_decor,product_category_name_garden_tools,product_category_name_health_beauty,product_category_name_perfumery,product_category_name_watches_gifts,price_per_customer,comp1_gap,comp2_gap,comp3_gap,price_change,discount_flag,quarter,price_freight_interaction,comp1_discount_interaction,comp2_discount_interaction,comp3_discount_interaction
-1.148998359304883,45.95,15.1,-0.9356199473048022,39,161,2,350,4.0,57,23,8,1,1,2017,10.26739356,3800,89.9,3.9,15.01189655,215.0,4.4,8.76,45.95,4.0,15.1,45.9,3,0.6931471805599453,3.849083205654272,False,False,False,False,False,False,False,False,0.7922413793103449,-90.8356199473048,-215.93561994730482,-46.885619947304804,-46.8356199473048,1,1,-14.127861204302514,-90.8356199473048,-215.93561994730482,-46.885619947304804
-0.9356670032727392,137.85,12.93333333,-0.9356199473048022,39,161,2,350,4.0,61,22,8,1,1,2017,6.503115265,3800,89.9,3.9,14.76921569,209.0,4.4,21.322,45.95,4.0,12.93333333,45.95,4,1.3862943611198906,3.849083205654272,False,False,False,False,False,False,False,False,2.2233870967741933,-90.8356199473048,-209.93561994730482,-46.885619947304804,-46.885619947304804,1,1,-12.100684648690043,-90.8356199473048,-209.93561994730482,-46.885619947304804
-0.6156699692245233,275.7,14.84,-0.9356199473048022,39,161,2,350,4.0,123,21,10,1,1,2017,12.07165109,3800,89.9,3.9,13.99383333,205.0,4.4,22.1959322,45.95,4.0,14.84,45.95,5,1.9459101490553128,3.849083205654272,False,False,False,False,False,False,False,False,2.2233870967741933,-90.8356199473048,-205.93561994730482,-46.885619947304804,-46.885619947304804,1,1,-13.884600018003265,-90.8356199473048,-205.93561994730482,-46.885619947304804
-0.8290013252566671,183.8,14.2875,-0.9356199473048022,39,161,2,350,4.0,90,23,8,1,1,2017,9.293873313,3800,89.9,3.9,14.65675676,199.5098039,4.4,19.41288462,45.95,4.0,14.2875,45.95,6,1.6094379124341005,3.849083205654272,False,False,False,False,False,False,False,False,2.0197802197802197,-90.8356199473048,-200.44542384730482,-46.885619947304804,-46.885619947304804,1,1,-13.367669997117362,-90.8356199473048,-200.44542384730482,-46.885619947304804
-1.042332681288811,91.9,15.1,-0.9356199473048022,39,161,2,350,4.0,54,21,9,1,1,2017,5.555555556,3800,89.9,3.9,18.77652174,163.3987097,4.4,24.3246875,45.95,4.0,15.1,45.95,0,1.0986122886681098,3.849083205654272,False,False,False,False,False,False,False,False,1.6709090909090911,-90.8356199473048,-164.33432964730483,-46.885619947304804,-46.885619947304804,1,1,-14.127861204302514,-90.8356199473048,-164.33432964730483,-46.885619947304804
-0.9356670032727392,137.85,15.1,-0.9356199473048022,39,161,2,350,4.0,50,22,9,2,1,2017,8.333333333,3800,89.9,3.9,21.57214286,45.95,4.0,15.1,45.95,4.0,15.1,45.95,1,1.3862943611198906,3.849083205654272,False,False,False,False,False,False,False,False,2.702941176470588,-90.8356199473048,-46.885619947304804,-46.885619947304804,-46.885619947304804,1,1,-14.127861204302514,-90.8356199473048,-46.885619947304804,-46.885619947304804
-0.0823415791441636,445.85,15.83272727,-1.0502623821613126,39,161,2,350,4.0,97,22,8,4,1,2017,30.55555556,3800,89.9,3.9,16.294,40.53181818,4.0,15.83272727,40.53181818,4.0,15.83272727,45.95,2,2.4849066497880004,3.726459836602481,False,False,False,False,False,False,False,False,4.549489795918368,-90.95026238216131,-41.582080562161316,-41.582080562161316,-47.00026238216132,1,1,-16.628517858700576,-90.95026238216131,-41.582080562161316,-41.582080562161316
-0.6156699692245233,239.94,15.23,-1.061726625604646,39,161,2,350,4.0,41,21,10,1,1,2017,16.66666667,3800,88.48823529,3.9,18.89833333,39.99,4.0,15.23,39.99,4.0,15.23,40.53181818,3,1.9459101490553128,3.7133281345162463,False,False,False,False,False,False,False,False,5.712857142857143,-89.54996191560465,-41.05172662560465,-41.05172662560465,-41.59354480560465,1,1,-16.17009650795876,-89.54996191560465,-41.05172662560465,-41.05172662560465
0.7709838449844117,759.81,16.53368421,-1.061726625604646,39,161,2,350,4.0,62,23,8,2,1,2018,17.75700935,3800,86.9,3.9,19.38352941,39.99,4.0,16.53368421,39.99,4.0,16.53368421,39.99,0,2.995732273553991,3.7133281345162463,False,False,False,False,False,False,False,False,12.060476190476189,-87.96172662560465,-41.05172662560465,-41.05172662560465,-41.05172662560465,1,1,-17.554252745096118,-87.96172662560465,-41.05172662560465,-41.05172662560465
0.6643181669683398,719.82,13.74944444,-1.061726625604646,39,161,2,350,4.0,62,20,8,2,1,2018,16.82242991,3800,86.9,3.9,19.20909091,39.99,4.0,13.74944444,39.99,4.0,13.74944444,39.99,1,2.9444389791664403,3.7133281345162463,False,False,False,False,False,False,False,False,11.425714285714287,-87.96172662560465,-41.05172662560465,-41.05172662560465,-41.05172662560465,1,1,-14.598151249219761,-87.96172662560465,-41.05172662560465,-41.05172662560465
0.5576524889522679,679.83,16.46235294,-1.061726625604646,39,161,2,350,4.0,43,22,9,1,1,2018,15.88785047,3800,86.9,3.9,19.98235294,39.99,4.0,16.46235294,39.99,4.0,16.46235294,39.99,2,2.8903717578961645,3.7133281345162463,False,False,False,False,False,False,False,False,15.450681818181819,-87.96172662560465,-41.05172662560465,-41.05172662560465,-41.05172662560465,1,1,-17.478518436498923,-87.96172662560465,-41.05172662560465,-41.05172662560465
0.1309897768879802,519.87,14.23615385,-1.061726625604646,39,161,2,350,4.0,34,21,9,1,1,2018,12.14953271,3800,85.045,3.9,12.94,39.99,4.0,14.23615385,39.99,4.0,14.23615385,39.99,3,2.6390573296152584,3.7133281345162463,False,False,False,False,False,False,False,False,14.853428571428571,-86.10672662560465,-41.05172662560465,-41.05172662560465,-41.05172662560465,1,1,-15.11490358874909,-86.10672662560465,-41.05172662560465,-41.05172662560465
0.7709838449844117,759.81,10.25631579,-1.061726625604646,39,161,2,350,4.0,57,23,8,3,1,2018,10.26739356,3800,83.64961538,3.9,16.78038462,39.99,4.0,10.25631579,39.99,4.0,10.25631579,39.99,4,2.995732273553991,3.7133281345162463,False,False,False,False,False,False,False,False,13.100172413793102,-84.71134200560465,-41.05172662560465,-41.05172662560465,-41.05172662560465,1,1,-10.88940355485235,-84.71134200560465,-41.05172662560465,-41.05172662560465
-0.7223356472405952,199.95,13.998,-1.061726625604646,39,161,2,350,4.0,43,21,9,0,1,2018,6.503115265,3800,79.9,3.9,23.00565217,39.99,4.0,13.998,39.99,4.0,13.998,39.99,5,1.791759469228055,3.7133281345162463,False,False,False,False,False,False,False,False,4.5443181818181815,-80.96172662560465,-41.05172662560465,-41.05172662560465,-41.05172662560465,1,1,-14.862049305213834,-80.96172662560465,-41.05172662560465,-41.05172662560465
-0.4023386131923794,319.92,20.4175,-1.061726625604646,39,161,2,350,4.0,26,22,9,1,1,2018,12.07165109,3800,77.93333333,3.9,19.952,39.99,4.0,20.4175,39.99,4.0,20.4175,39.99,6,2.19722457733622,3.7133281345162463,False,False,False,False,False,False,False,False,11.84888888888889,-78.99505995560465,-41.05172662560465,-41.05172662560465,-41.05172662560465,1,1,-21.67780337828286,-78.99505995560465,-41.05172662560465,-41.05172662560465
